X,Y,subgeol,subwinrad3,subflocum3,subveg15
746640.15399600000,3854508.59271000000,6,3,1,1
732440.00850700000,3846639.86270000000,1,2,1,4
739368.95891000000,3850900.67116000000,5,3,1,1
741311.06828600000,3855381.92786000000,5,3,1,4
750102.56825400000,3847106.16235000000,2,2,2,14
727857.49728900000,3848978.05635000000,2,2,1,12
743030.47287800000,3840541.86169000000,5,3,2,1
747478.39126900000,3844723.64404000000,1,3,1,1
755345.57231500000,3852553.50546000000,1,2,1,1
732744.23500300000,3850691.96624000000,2,2,1,12
727371.52005900000,3847988.09751000000,2,3,1,11
745148.07102200000,3853389.26649000000,5,3,1,1
732415.27333000000,3840396.80740000000,2,3,1,4
727954.24740300000,3847291.16295000000,2,3,1,11
743430.67211400000,3847271.32299000000,5,2,1,1
735025.41236900000,3841764.50983000000,2,2,3,11
741493.51964600000,3849447.83824000000,2,3,1,14
726382.61808100000,3850840.46466000000,2,3,1,4
735596.30513100000,3856341.64650000000,6,3,1,1
750942.65990100000,3853814.10909000000,1,1,1,4
726580.33374100000,3846357.64328000000,1,2,2,3
730736.74667200000,3854569.19889000000,6,3,1,1
740684.95380300000,3841553.34016000000,6,2,2,10
728829.24486500000,3852699.35560000000,6,3,1,1
749320.48823100000,3850918.88686000000,6,3,1,4
729916.74241300000,3854324.27554000000,6,2,2,4
754981.10154500000,3853898.68575000000,1,3,1,1
754051.55853600000,3840614.68972000000,1,2,2,3
736354.97638000000,3855855.95504000000,6,3,1,1
734004.95305900000,3839415.05376000000,2,2,1,5
732548.03082600000,3854787.15869000000,6,3,1,4
729615.69525600000,3843073.66641000000,2,3,1,8
728591.24224000000,3855930.08019000000,2,3,1,1
755202.70430200000,3840302.02027000000,1,3,1,3
745697.04198500000,3843534.07223000000,1,3,1,4
731612.80479600000,3845096.31127000000,2,3,2,3
736660.23016900000,3846436.25943000000,6,2,1,2
734714.24968900000,3840734.84055000000,2,3,1,11
751643.49143100000,3849298.59463000000,5,2,1,1
754640.10611500000,3854201.90182000000,1,3,1,1
727644.49454600000,3843563.17746000000,1,3,1,4
755338.32217800000,3851676.64233000000,1,3,1,1
737532.35632000000,3839942.34965000000,2,3,1,3
742929.50272800000,3845341.52535000000,6,2,2,4
743077.36970500000,3839164.11627000000,2,3,2,6
736697.27192100000,3849677.67208000000,2,2,2,14
749636.39316800000,3845145.45994000000,1,2,1,0
752747.25830700000,3850126.46536000000,5,3,1,3
746678.19237600000,3847352.48318000000,5,2,1,1
755934.19681300000,3842054.37674000000,1,2,2,1
744952.27382700000,3839029.54233000000,2,3,3,10
751867.79992100000,3840544.34719000000,1,3,1,3
726907.81747200000,3850527.51884000000,2,3,1,4
727498.42613700000,3848989.06889000000,2,3,1,3
728504.32309600000,3854528.54940000000,6,3,1,4
735642.43120000000,3844423.12979000000,6,3,2,4
745471.34438200000,3854715.02701000000,6,3,1,1
739286.30525300000,3855021.38586000000,6,2,1,4
743933.54197600000,3839776.15960000000,2,3,2,4
727240.63943300000,3855382.85647000000,6,3,2,4
746444.20405300000,3844338.28429000000,1,3,1,4
747870.33338300000,3852364.36707000000,6,2,1,0
748259.22485800000,3851183.43448000000,6,3,2,4
754725.92144800000,3852102.42755000000,1,2,2,1
743767.77256400000,3846303.97165000000,6,2,2,1
744759.75273900000,3853612.32536000000,5,3,1,14
741460.87006700000,3848609.79662000000,5,2,1,10
743191.51171300000,3839449.37727000000,2,3,1,10
738481.03720700000,3841047.07544000000,2,2,1,1
745059.11501200000,3856350.10864000000,5,2,1,4
749345.37604000000,3844714.67816000000,1,2,1,3
754378.32863900000,3841511.04116000000,1,3,1,3
736336.01449100000,3852852.42415000000,5,3,2,10
752961.36664500000,3847115.76949000000,2,3,3,14
752361.44802100000,3848796.92834000000,5,3,1,3
739817.81539700000,3846527.11382000000,6,2,1,4
742247.68693700000,3852154.38768000000,5,2,1,4
734962.76118400000,3844716.64248000000,5,3,1,4
745685.06495300000,3849987.62889000000,5,2,1,14
734118.92379400000,3843646.82499000000,2,3,2,4
731578.45865400000,3854603.61587000000,6,3,1,4
755236.14011400000,3842975.60154000000,1,3,1,1
745252.15688000000,3839796.31730000000,5,2,1,4
747103.84237200000,3846568.31301000000,1,1,1,3
752693.67113100000,3849602.34293000000,5,2,1,1
748078.34136300000,3845301.93560000000,1,2,2,3
739738.49284900000,3839029.81091000000,2,3,1,5
756327.47643400000,3851588.98522000000,1,3,2,1
728365.86325000000,3855645.11731000000,2,3,1,3
730501.75084700000,3851163.61465000000,2,3,1,5
742923.32073200000,3841631.61450000000,6,1,1,3
738206.06342300000,3852499.68966000000,5,2,1,4
728210.48263900000,3840108.90439000000,2,3,1,1
744561.90653900000,3846932.15663000000,6,2,1,10
730225.60099100000,3850345.94611000000,6,1,1,4
737754.92365900000,3842361.08421000000,2,3,2,3
754646.49154400000,3853300.63199000000,1,2,1,1
745632.31302700000,3853571.30574000000,6,2,2,14
737398.60892700000,3846792.74985000000,6,1,1,2
729836.88015600000,3854633.41349000000,6,2,1,1
752789.95776500000,3852050.07394000000,1,3,1,1
745499.54943400000,3856265.48712000000,5,3,1,1
750735.20601300000,3853367.32698000000,6,2,3,1
735230.97178300000,3851265.25533000000,2,2,1,10
751618.70579900000,3842502.59732000000,1,3,1,3
746969.04640000000,3843363.28338000000,1,2,1,3
728544.17143600000,3842098.93649000000,2,2,2,4
728211.83550600000,3842530.11341000000,2,2,1,8
734873.02049300000,3852380.47563000000,2,3,1,10
747967.30672100000,3849693.51197000000,5,3,1,1
753897.59384800000,3840276.43491000000,1,3,1,4
737174.76541100000,3853821.97938000000,5,3,1,3
735889.33576700000,3855145.59247000000,6,2,2,14
753365.95304800000,3846840.27208000000,2,2,1,10
731790.46591900000,3848052.07865000000,1,3,1,4
736771.44080200000,3844352.28542000000,6,3,1,3
754831.90068700000,3855948.37740000000,1,3,1,1
732752.98609500000,3847675.43422000000,1,3,1,4
742655.57994000000,3847869.94459000000,5,3,1,1
733091.33108000000,3840104.29946000000,2,3,1,11
745420.88919500000,3842026.11480000000,1,1,1,3
740362.41133100000,3840359.69580000000,2,3,1,1
754966.77651400000,3853247.75859000000,1,3,1,1
733015.69455500000,3843784.87602000000,2,3,1,11
732931.57003200000,3842416.27455000000,2,3,2,3
733852.60991300000,3849149.06201000000,5,2,1,1
747099.02802900000,3839498.50041000000,5,3,3,4
752180.71261300000,3854091.22878000000,6,2,2,1
754591.45404100000,3852119.21564000000,1,2,1,1
740566.92780300000,3842160.29621000000,6,2,1,4
744248.42433600000,3853728.64440000000,5,3,1,14
738000.52610100000,3854369.49705000000,5,3,1,4
745924.65195500000,3848085.50808000000,2,2,1,1
753530.31741100000,3853393.81293000000,1,2,1,1
739524.75237100000,3849362.54527000000,2,3,1,10
747510.56505700000,3840626.72015000000,1,3,1,3
743691.14211500000,3844556.66275000000,1,2,1,4
727829.73115000000,3846773.11962000000,2,3,2,8
746315.13597600000,3839866.68745000000,6,2,1,4
731397.69781600000,3853915.41258000000,6,3,1,1
725900.16584200000,3847836.04108000000,2,3,2,11
739152.88349200000,3846912.91139000000,6,2,1,4
734820.26966100000,3846961.69356000000,1,2,1,2
727287.21488600000,3842186.70525000000,2,3,1,8
737531.22443300000,3850413.17264000000,5,3,2,4
748513.83239600000,3846884.52139000000,6,3,1,1
730749.02085700000,3853206.93366000000,6,2,1,1
751878.55704200000,3841343.35029000000,1,2,2,3
745991.12867900000,3846951.07710000000,6,1,1,1
745348.08721900000,3842786.79646000000,1,3,1,4
736411.00953300000,3846409.75292000000,1,2,1,2
731690.17879000000,3845838.06405000000,2,2,1,3
751391.34172100000,3854646.18700000000,6,1,1,3
743893.00227300000,3855199.17018000000,6,3,1,4
752192.93973700000,3850916.89652000000,6,3,1,10
750399.32173400000,3841058.10228000000,1,3,2,4
750110.60755900000,3850508.85402000000,6,2,1,0
756402.68917700000,3850064.91580000000,5,3,1,1
743982.14163800000,3840845.71118000000,6,3,1,4
747932.06589600000,3840082.43622000000,1,2,1,4
736966.71491500000,3852939.68400000000,5,3,1,10
743197.44799000000,3856341.43848000000,5,2,1,4
741861.17378100000,3850082.38582000000,5,3,2,10
752359.44895300000,3854849.91556000000,6,3,1,1
745997.39645600000,3850264.84143000000,5,3,1,14
755758.87511800000,3843157.51954000000,1,3,1,1
730313.09442000000,3841787.14424000000,2,3,1,4
748867.71311800000,3854209.62890000000,6,2,1,4
744526.51365700000,3856076.77923000000,5,3,1,4
747786.40717400000,3846208.81039000000,1,1,1,3
731472.40962800000,3844628.09112000000,2,3,1,3
741774.22880500000,3848776.68936000000,5,2,1,1
751163.22673400000,3846514.74500000000,5,2,1,3
733736.08302700000,3853660.27857000000,5,2,1,1
741661.30705300000,3848522.00991000000,5,2,1,1
731603.32051600000,3840237.39323000000,2,3,1,1
745311.83365700000,3841841.11606000000,1,3,1,4
738869.97493800000,3853834.88597000000,5,2,1,3
737422.33332200000,3844670.98960000000,6,2,1,3
730771.22807300000,3844988.59347000000,2,3,1,3
738839.97764600000,3852467.10737000000,5,2,2,3
726140.13848100000,3852294.06103000000,2,3,1,1
751047.51507800000,3852481.24881000000,1,3,3,1
756105.58665000000,3852188.06005000000,1,2,1,1
731919.44861900000,3846841.48396000000,1,3,1,1
747005.54752200000,3840819.56124000000,6,3,2,1
737618.14910000000,3845912.13991000000,6,2,1,4
736424.80900900000,3856139.05518000000,6,3,1,1
738363.42825800000,3846144.69851000000,6,3,1,4
729323.15686500000,3840729.55060000000,2,3,1,1
727752.19405200000,3841611.38526000000,2,3,1,8
736712.37766300000,3840576.29893000000,2,2,1,3
726023.63731200000,3848451.59499000000,2,3,1,11
736270.41622400000,3845624.85689000000,6,2,1,3
740975.02303100000,3851499.68657000000,5,2,1,1
726703.33983400000,3854776.55314000000,2,2,1,4
750233.15966600000,3844718.73059000000,1,2,3,3
738792.67872800000,3855959.84738000000,6,3,1,1
737699.31146800000,3839727.93507000000,2,3,1,3
727840.32890700000,3849176.15742000000,2,3,2,4
755210.70235600000,3839144.29856000000,6,1,1,4
735532.82761200000,3848024.29132000000,6,2,1,4
733363.29351900000,3841420.65388000000,2,3,1,3
751740.25494900000,3847678.83221000000,2,3,1,14
753834.38207000000,3838919.84488000000,1,3,2,4
726046.18857000000,3852240.24435000000,2,3,1,1
734966.99583300000,3840926.39254000000,2,3,3,4
746382.82231300000,3844489.62703000000,1,3,1,4
737151.56415500000,3848354.58585000000,5,2,1,1
753511.88573900000,3843437.09538000000,1,3,1,4
747104.91494300000,3846835.16069000000,6,2,1,1
735344.72401100000,3845244.69735000000,6,3,1,2
746047.07012700000,3849881.92307000000,5,2,1,11
738954.86676600000,3845384.05614000000,6,3,1,1
754833.21345400000,3848935.63824000000,5,3,1,1
748544.50517300000,3842552.06852000000,1,2,2,10
734422.05424600000,3841909.76972000000,2,3,2,3
755612.07093100000,3847300.81333000000,5,3,2,1
745146.05158800000,3849506.60038000000,2,3,1,10
729821.94528500000,3848376.21098000000,2,3,2,1
748967.79002500000,3846062.67075000000,1,2,2,3
755048.87521600000,3847173.60595000000,5,3,1,3
736173.74579300000,3846509.73294000000,1,2,1,2
730225.04206700000,3843343.19885000000,2,3,2,8
746013.58437600000,3848834.91002000000,2,3,1,0
733419.68343000000,3846972.69317000000,1,1,1,4
752328.13785900000,3856135.85569000000,5,2,1,1
738371.12300300000,3852851.29390000000,5,3,1,3
755856.90998000000,3852558.63916000000,1,2,1,1
751013.80098300000,3852242.42293000000,6,2,1,1
745395.17453400000,3852271.72895000000,5,3,2,1
734740.94193400000,3852650.09547000000,2,2,2,10
745942.28186000000,3843292.59001000000,1,3,1,4
743311.97874200000,3841083.09455000000,6,2,1,4
739560.47220800000,3850262.68910000000,5,2,2,10
753694.60272500000,3853696.32613000000,1,1,1,1
738860.42731500000,3850535.40516000000,5,2,1,1
741299.79165000000,3842447.84307000000,6,2,1,1
737058.24238000000,3855124.65699000000,6,3,1,10
736998.15200500000,3851458.99030000000,5,2,1,10
752745.43321700000,3853897.93820000000,1,2,1,1
728855.14500900000,3843908.08961000000,2,2,1,4
755091.27734800000,3849109.55420000000,5,3,1,1
734832.39012000000,3849558.74777000000,2,2,1,10
749393.72037500000,3851561.78605000000,6,3,3,1
754956.07410600000,3843714.82051000000,1,3,1,4
746923.52982500000,3853604.93413000000,6,2,2,3
743875.80972700000,3852799.08100000000,5,3,3,1
744541.38639400000,3845658.40481000000,1,2,1,4
744737.28806700000,3854761.25686000000,6,2,1,4
746905.67761600000,3855482.98607000000,6,2,3,11
738433.21118000000,3847079.65990000000,6,1,1,3
740539.52589900000,3849511.22997000000,5,3,1,1
750690.85676500000,3842956.51098000000,1,3,1,4
745236.74081000000,3842764.56107000000,1,2,2,4
740173.45326400000,3853643.92140000000,5,2,1,3
728525.99440100000,3846779.18700000000,2,3,1,8
748279.10052900000,3844875.87861000000,1,2,1,3
755771.37574900000,3844655.79867000000,6,2,1,4
741152.48958100000,3847776.02196000000,5,2,2,3
729206.30751100000,3842424.82026000000,2,2,1,0
748142.38977300000,3844918.08316000000,1,2,2,3
737112.45464300000,3853524.53008000000,5,2,2,10
727220.15685700000,3839284.02240000000,2,3,1,10
748694.44238400000,3848093.40887000000,2,3,1,10
730704.92198800000,3849229.55924000000,1,3,1,4
737636.63025000000,3856191.70317000000,6,3,1,3
740036.09860900000,3852413.25261000000,5,2,1,1
742075.46622100000,3854374.27985000000,5,3,1,10
742938.86722700000,3841568.51255000000,6,2,1,3
739368.64478500000,3852105.00487000000,5,2,1,3
730596.35789000000,3840170.66326000000,2,3,1,1
739126.53327500000,3842415.52929000000,6,2,1,3
755751.87438200000,3848484.00168000000,2,2,1,1
725788.62388200000,3840904.27740000000,2,3,1,1
729354.87994700000,3847887.42711000000,2,3,1,8
730661.24264400000,3852382.55465000000,5,2,1,4
745307.56253100000,3851453.98932000000,5,3,1,1
726473.88935500000,3849340.34243000000,2,3,1,0
746081.06739500000,3848836.47505000000,2,3,3,0
747919.67285000000,3846404.34627000000,1,2,1,4
751180.53106500000,3843319.22224000000,1,3,1,4
745913.36588300000,3840133.60163000000,6,1,1,3
739213.77902800000,3846578.68519000000,6,2,1,4
733469.08549200000,3855738.83538000000,6,2,2,3
726022.03889800000,3854108.90524000000,2,2,3,4
730931.12305500000,3852580.48345000000,5,2,3,4
747373.69712400000,3841758.44504000000,1,2,1,3
728699.53881500000,3852464.38733000000,6,3,1,4
732707.90187400000,3841315.74796000000,2,2,2,12
731155.59418900000,3850195.63151000000,6,2,1,4
750611.74725800000,3855743.02493000000,6,3,1,1
729280.93722400000,3852919.14096000000,6,3,1,1
747673.20955500000,3846899.66501000000,6,3,1,1
727450.23109900000,3852573.14966000000,2,2,2,4
755590.50318500000,3853692.13146000000,1,3,1,1
733665.75757800000,3850608.91393000000,2,2,1,10
749954.64363000000,3843836.81403000000,1,3,1,4
746051.76048800000,3844245.20248000000,1,3,1,4
734050.87736400000,3846904.09665000000,1,2,1,4
737538.98597300000,3840939.72643000000,2,2,2,3
756180.00683100000,3849397.28712000000,5,3,1,1
733331.80114100000,3845326.84822000000,2,3,1,3
754324.48826400000,3842121.03654000000,1,2,2,3
735989.88161700000,3850322.92574000000,5,3,1,14
739730.34578600000,3850400.96463000000,5,3,1,1
747153.39102600000,3846610.24452000000,1,2,2,1
749920.15532500000,3847677.82124000000,2,3,1,11
733405.56775800000,3847220.08724000000,1,3,2,4
742947.75064300000,3855278.79430000000,5,2,2,1
754414.33377700000,3853973.87608000000,1,3,2,1
728254.53697800000,3849042.83872000000,2,3,2,8
730199.14140500000,3849954.95463000000,1,2,1,4
749966.51549300000,3845564.25035000000,1,3,1,3
745185.45509000000,3849712.36565000000,5,3,1,10
740006.12945000000,3841202.57009000000,5,3,1,6
748146.91841200000,3846503.54272000000,1,1,2,4
752589.97557000000,3854190.21783000000,6,2,1,1
731021.45304600000,3845690.90341000000,2,3,2,10
732641.85951700000,3847928.36215000000,1,2,1,4
739898.27247900000,3841089.66546000000,5,3,2,6
731227.24667300000,3855764.03950000000,6,2,1,1
750993.57551800000,3853420.25973000000,6,3,1,4
751425.89544000000,3840473.37994000000,1,3,1,1
753305.76751600000,3852681.85438000000,1,3,1,1
736213.71650400000,3853609.60193000000,5,3,2,10
731007.58320900000,3841013.99538000000,2,3,1,4
746615.27729000000,3853036.59849000000,6,3,1,4
732829.41765600000,3847901.26398000000,1,1,1,4
729754.89680600000,3848749.19806000000,2,3,1,4
752378.54748000000,3851931.90389000000,1,2,3,3
728137.76546500000,3840243.34323000000,2,3,1,1
730197.78203700000,3853206.21283000000,6,2,1,1
744465.18542200000,3848238.79764000000,5,2,1,1
741268.61782700000,3848249.59911000000,5,3,1,1
742667.66657000000,3853825.69384000000,5,3,3,1
752143.18724700000,3844074.08025000000,1,2,3,1
740755.37256900000,3842895.11148000000,6,2,1,1
752705.47384000000,3855637.56283000000,6,3,1,1
734874.25323300000,3856377.01600000000,6,2,1,3
739408.00997000000,3848440.64564000000,5,2,1,1
749927.74875600000,3841866.46718000000,1,3,1,4
737238.36340200000,3850356.74103000000,5,3,2,1
756152.40212700000,3854306.35656000000,1,2,1,1
738796.63641800000,3844627.18694000000,6,3,1,4
747007.26520000000,3841614.67160000000,1,3,1,4
747738.28393500000,3843021.17930000000,1,3,2,3
748652.74306400000,3842771.00134000000,1,2,2,1
743188.85770000000,3856034.61820000000,5,3,2,1
747505.67931700000,3851740.68485000000,6,3,1,10
752384.98302000000,3844300.43475000000,1,3,2,4
738568.64288200000,3842433.65120000000,5,3,1,10
755486.25025300000,3840325.38626000000,1,2,1,3
726583.67756400000,3855221.28102000000,2,3,1,1
733361.56065300000,3852484.99233000000,5,3,1,3
728271.93353200000,3853140.18157000000,6,3,1,4
736731.15021300000,3845334.02062000000,6,2,1,0
731258.67507600000,3842979.92391000000,2,3,2,4
731496.28199500000,3845424.28192000000,2,3,2,4
750607.00868400000,3846950.80979000000,2,2,1,1
747271.30455000000,3854523.02130000000,6,3,1,4
753235.97607900000,3852830.24349000000,1,2,1,1
744189.67578300000,3846798.91029000000,6,2,1,3
745582.89767500000,3852995.88082000000,5,3,1,4
755885.95816500000,3846696.18957000000,2,2,1,0
733010.99452800000,3855378.48191000000,6,3,1,1
754612.69293400000,3839351.86262000000,6,2,1,3
753660.24939000000,3854309.81535000000,6,3,1,1
734619.54259800000,3842594.15596000000,2,3,1,8
726129.84322700000,3854183.38223000000,2,2,1,4
737739.38395200000,3839905.93610000000,2,3,2,3
746112.44378900000,3846451.29030000000,1,1,1,3
730449.88353500000,3850920.08822000000,6,2,1,4
737411.35890200000,3850365.45012000000,5,3,1,14
735876.01996300000,3856320.95021000000,6,3,1,1
741094.30507200000,3848024.80964000000,5,2,2,1
728467.07739300000,3853718.80722000000,6,3,1,1
748214.80404000000,3846569.62338000000,1,1,1,4
725700.88283400000,3848823.55768000000,2,3,1,11
742108.79220500000,3845613.26217000000,6,2,3,4
738985.35296600000,3848599.71406000000,5,2,1,10
751429.39580700000,3855300.54235000000,6,2,1,1
740124.34864300000,3853123.28780000000,5,2,2,3
745970.13308900000,3848025.50108000000,2,2,1,1
737940.21871500000,3842861.10766000000,5,3,3,3
732411.04546900000,3841668.80729000000,2,3,1,1
750772.33193400000,3845545.13833000000,1,2,2,1
727601.47751100000,3839974.10347000000,2,3,1,12
738556.67028000000,3851987.10326000000,5,3,1,4
750302.84973100000,3845413.87139000000,1,3,1,1
743515.40676400000,3839910.01349000000,2,3,1,14
756103.61030700000,3845068.15166000000,5,2,2,1
747189.99190900000,3850045.94119000000,5,3,1,10
749091.63459000000,3844943.48247000000,1,2,1,3
739945.13823800000,3848864.53507000000,2,2,1,14
747897.79218600000,3853255.38744000000,6,3,2,4
726888.38497100000,3846893.72111000000,1,3,1,8
747034.02567900000,3853120.97079000000,6,1,1,3
733910.31627200000,3849583.45429000000,5,3,1,1
752674.66845200000,3840088.98474000000,1,2,1,3
754001.27324200000,3847317.91253000000,5,3,1,10
755818.57111000000,3842521.10294000000,1,2,1,4
728436.94127600000,3841296.68207000000,2,3,1,4
752868.07225500000,3842838.13346000000,1,2,3,1
750087.11927500000,3849534.27333000000,6,2,1,1
738336.99968200000,3849962.57136000000,5,3,1,1
749482.72862400000,3854717.70958000000,6,3,2,1
748836.42946600000,3848576.78599000000,5,2,1,1
746627.30869000000,3848056.36903000000,2,2,2,10
728613.84757800000,3840547.43608000000,2,3,1,11
743864.20705600000,3843411.80544000000,1,3,1,1
728216.75749200000,3844058.63583000000,2,3,1,8
755926.85381900000,3840937.69302000000,1,1,2,3
743246.75414600000,3855919.62294000000,5,2,1,3
732004.11043300000,3841892.86589000000,2,3,1,11
735662.41600900000,3852474.29374000000,2,3,1,15
742398.84929400000,3841386.38758000000,6,3,1,1
731455.89302600000,3852068.76004000000,5,3,1,4
752189.43856400000,3848246.41020000000,5,3,1,1
734091.52678000000,3852148.24023000000,5,3,1,3
756007.29611500000,3841281.35542000000,1,3,1,4
749066.38835600000,3856333.87782000000,6,3,2,4
750776.72853700000,3851048.40476000000,6,3,2,0
751642.99510100000,3839531.60689000000,1,3,1,4
733671.36166400000,3849022.58593000000,6,2,1,1
738677.55033200000,3848933.25412000000,2,2,1,10
727217.61940400000,3843166.28460000000,1,3,1,4
727481.27547500000,3844096.34809000000,2,3,2,8
740813.78277700000,3844302.06491000000,6,3,1,3
749976.25383500000,3841261.29862000000,1,2,1,4
732369.70250300000,3839932.57574000000,2,3,1,1
735970.66376900000,3842659.59267000000,2,2,1,3
726434.16332800000,3842189.70614000000,1,2,2,8
735349.82814300000,3853615.61708000000,5,2,2,10
750979.96572500000,3849219.90798000000,5,2,1,1
755261.79217900000,3852984.63136000000,1,3,1,1
749213.72316100000,3839159.05932000000,6,3,1,4
754755.78141000000,3844825.46611000000,1,2,1,4
746326.60626400000,3845888.62859000000,1,3,1,3
752473.03410800000,3839360.06668000000,6,3,1,4
748032.24981300000,3850937.63639000000,5,3,1,0
755891.03623600000,3856137.65059000000,1,3,1,1
743469.97873100000,3855549.43770000000,5,3,1,4
745706.42782800000,3849926.80906000000,5,3,1,14
752629.19330100000,3849787.41778000000,5,3,2,10
732730.69171800000,3844647.75920000000,2,3,1,11
734901.52062700000,3850304.18631000000,2,3,1,6
750236.19408100000,3843550.41112000000,1,1,1,3
731338.88856700000,3846081.18741000000,2,3,1,10
737352.07115800000,3853421.66709000000,5,2,1,10
748351.04631200000,3841253.71348000000,1,2,1,3
732419.08074700000,3853383.66899000000,5,2,1,3
755420.68782900000,3851818.64418000000,1,2,1,1
745044.05541100000,3853671.97318000000,5,3,1,8
736992.01833600000,3852945.45995000000,5,3,1,10
725763.07600700000,3839974.56179000000,2,3,2,10
738688.60403100000,3848515.11430000000,5,2,2,1
743349.40129800000,3853663.09061000000,5,3,1,1
755354.42040600000,3849722.47226000000,6,3,3,1
738506.79058700000,3846083.65122000000,6,3,1,1
740834.33047900000,3846914.88196000000,6,3,1,1
736166.96224100000,3854575.30669000000,6,2,3,0
741424.44971900000,3841349.04249000000,6,2,1,10
730695.28363700000,3841046.81934000000,2,3,1,1
753387.84671500000,3846134.69994000000,5,1,1,3
755575.73596200000,3845722.25072000000,5,2,1,1
738888.35235800000,3853085.72111000000,5,2,1,0
753414.25711000000,3849357.06288000000,5,3,1,14
740498.31773100000,3849651.11152000000,5,2,2,1
726944.19783500000,3839121.76958000000,2,3,1,10
756450.38633300000,3847665.72015000000,5,3,1,10
755985.68608200000,3856243.64323000000,1,3,1,1
